PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,SCORE,IFAF
132,4,,,,,,,,,,,,
133,4,,,,,,,,,,,,
134,4,,,,,,,,,,,,
135,4,,,,,,,,,,,,
136,4,,,,,,,,,,,,
137,4,,,,,,,,,,,,
138,4,,,,,,,,,,,,
139,4,,,,,,,,,,,,
140,4,,,,,,,,P,DPI/PT,27 GD,,
141,4,,,,,,,,,,,,
142,4,,,,,,,,,,,,
143,4,,,,,,,,,,,,
144,4,,,,,,,,,,,,
145,4,OFH-GR,CC,RC,,,,,,,,,
146,4,,,,,,,,,,,,
147,4,,,,,,,,,,,,
148,4,,,,,,,,,,,,
149,4,,,,,,,,,,,,
150,4,,,,,,,,,,,,
151,4,,,,,,,,,,,,
152,4,,,,,,,,,,,,
153,4,,,,,,,,,,,,
154,4,,,,,,,,,,,,
155,4,,,,,,,,,,,,
156,4,,,,,,,,,,,,
157,4,,,,,,,,,,,,
158,4,,,,,,,,,,,,
159,4,,,,,,,,,,,,
160,4,,,,,,,,,,,,
161,4,,,,,,,,,,,,
162,4,,,,,,,,,,,,
163,4,,,,,,,,,,,,
164,4,,,,,,,,,,,,
165,4,,,,,,,,,,,,
166,4,,,,,,,,,,,,
